INTEGRATED_NAME,ADDRESS,TREES_KIND
신이문로,"서울특별시 동대문구 이문동 238-2","은행나무 "
망우로,"서울특별시 동대문구 휘경동 336-10","양버즘나무 은행나무 "
망우로,"서울특별시 동대문구 휘경동 280-1","은행나무 "
겸재로,"서울특별시 동대문구 휘경동 49-322","산딸나무 메타세쿼이아 "
겸재로,"서울특별시 동대문구 휘경동 49-6","산딸나무 메타세쿼이아 배롱나무 "
장한로,"서울특별시 동대문구 장안동 469-7","양버즘나무 이팝나무 은행나무 "
한천로,"서울특별시 동대문구 이문동 92-29","양버즘나무 은행나무 "
약령시로,"서울특별시 동대문구 제기동 190-18","은행나무 "
왕산로,"서울특별시 동대문구 용두동 236-1","느티나무 "
무학로,"서울특별시 동대문구 용두동 193-58","은행나무 "
무학로,"서울특별시 동대문구 용두동 150-4","은행나무 "
약령시로,"서울특별시 동대문구 청량리동 235-14","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 전농동 1-5","양버즘나무 은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 530-83","은행나무 "
정릉천동로,"서울특별시 동대문구 제기동 1205","양버즘나무 이팝나무 은행나무 회화나무 대추나무 "
이문로,"서울특별시 동대문구 이문동 292-95","은행나무 "
전농로,"서울특별시 동대문구 전농동 195-1","은행나무 "
장안벚꽃로,"서울특별시 동대문구 장안동 473-6","양버즘나무 이팝나무 "
장한로12길,"서울특별시 동대문구 장안동 471-1","양버즘나무 이팝나무 은행나무 "
휘경로,"서울특별시 동대문구 휘경동 372-3","양버즘나무 이팝나무 은행나무 칠엽수 "
신이문로,"서울특별시 동대문구 이문동 255-223","은행나무 "
망우로,"서울특별시 동대문구 휘경동 42-6","이팝나무 은행나무 "
망우로,"서울특별시 동대문구 휘경동 312-245","은행나무 "
전농로,"서울특별시 동대문구 전농동 189-1","은행나무 "
전농로,"서울특별시 동대문구 답십리동 94-2","양버즘나무 은행나무 "
회기로,"서울특별시 동대문구 청량리동 207-43","은행나무 "
고산자로,"서울특별시 동대문구 제기동 669-1","양버즘나무 은행나무 "
이문로,"서울특별시 동대문구 이문동 341-11","은행나무 "
한천로,"서울특별시 동대문구 답십리동 2-17","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 장안동 95-5","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 답십리동 917","양버즘나무 은행나무 "
약령시로,"서울특별시 동대문구 청량리동 235-10","양버즘나무 이팝나무 은행나무 "
장안벚꽃로,"서울특별시 동대문구 장안동 473-2","양버즘나무 이팝나무 은행나무 벚나무 회화나무 "
정릉천동로,"서울특별시 동대문구 제기동 891-2","양버즘나무 이팝나무 은행나무 뽕나무 회화나무 "
답십리로,"서울특별시 동대문구 답십리동 2-150","이팝나무 "
전농로,"서울특별시 동대문구 답십리동 69-1","양버즘나무 은행나무 "
전농로,"서울특별시 동대문구 답십리동 534","양버즘나무 은행나무 "
망우로,"서울특별시 동대문구 휘경동 32-1","은행나무 "
이문로,"서울특별시 동대문구 이문동 371-1","양버즘나무 "
안암로,"서울특별시 동대문구 신설동 397-2","양버즘나무 은행나무 "
안암로,"서울특별시 동대문구 제기동 142-21","은행나무 "
장안벚꽃로,"서울특별시 동대문구 휘경동 49-295","회화나무 "
왕산로,"서울특별시 동대문구 용두동 47-1","이팝나무 은행나무 "
답십리로,"서울특별시 동대문구 답십리동 476-265","느티나무 "
사가정로,"서울특별시 동대문구 전농동 30-1","이팝나무 은행나무 느티나무 벚나무 "
제기로,"서울특별시 동대문구 제기동 856","양버즘나무 은행나무 "
무학로,"서울특별시 동대문구 용두동 168-15","은행나무 "
한천로,"서울특별시 동대문구 이문동 209-1","양버즘나무 은행나무 "
천호대로,"서울특별시 동대문구 신설동 102-27","은행나무 느티나무 "
홍릉로,"서울특별시 동대문구 청량리동 199-231","양버즘나무 "
서울시립대로,"서울특별시 동대문구 전농동 124-64","은행나무 "
한천로,"서울특별시 동대문구 이문동 212-4","은행나무 "
장안벚꽃로,"서울특별시 동대문구 휘경동 49-12","이팝나무 회화나무 "
장한로,"서울특별시 동대문구 장안동 469-9","양버즘나무 이팝나무 은행나무 벚나무 "
한천로,"서울특별시 동대문구 장안동 187","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 답십리동 1-465","양버즘나무 은행나무 "
장한로,"서울특별시 동대문구 장안동 469-5","이팝나무 "
한천로,"서울특별시 동대문구 답십리동 952-2","양버즘나무 이팝나무 은행나무 "
