INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,TREE_NAME,CONIFEROUS_DECIDUOUS,EVERGREEN_DECIDUOUS,SIZE_STRUCTURE,FLOWER_FRUIT,FLOWER,SEASON
천호대로,"서울특별시 동대문구 용두동 237-10",0.050337358499340144,"양버즘나무 이팝나무 은행나무 느티나무 백합나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
천호대로,"서울특별시 동대문구 용두동 237-10",0.050337358499340144,"양버즘나무 이팝나무 은행나무 느티나무 백합나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
천호대로,"서울특별시 동대문구 용두동 237-10",0.050337358499340144,"양버즘나무 이팝나무 은행나무 느티나무 백합나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
천호대로,"서울특별시 동대문구 용두동 237-10",0.050337358499340144,"양버즘나무 이팝나무 은행나무 느티나무 백합나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
외대역동로,"서울특별시 동대문구 휘경동 112-43",0.009616367442984957,"양버즘나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
제기로17길,"서울특별시 동대문구 청량리동 203-316",0.0029835842628772665,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
천호대로,"서울특별시 동대문구 답십리동 524-1",0.050337358499340144,"양버즘나무 느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
천호대로,"서울특별시 동대문구 답십리동 524-1",0.050337358499340144,"양버즘나무 느티나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
답십리로,"서울특별시 동대문구 전농동 485-11",0.03436276900247712,"양버즘나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
사가정로,"서울특별시 동대문구 장안동 469-1",0.07865510585547797,"양버즘나무 단풍나무 이팝나무 은행나무 회화나무 ",회화나무,활엽수,낙엽수,교목,,봄,X
사가정로,"서울특별시 동대문구 장안동 469-1",0.07865510585547797,"양버즘나무 단풍나무 이팝나무 은행나무 회화나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 장안동 469-1",0.07865510585547797,"양버즘나무 단풍나무 이팝나무 은행나무 회화나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
사가정로,"서울특별시 동대문구 장안동 469-1",0.07865510585547797,"양버즘나무 단풍나무 이팝나무 은행나무 회화나무 ",단풍나무,활엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 장안동 469-1",0.07865510585547797,"양버즘나무 단풍나무 이팝나무 은행나무 회화나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
한천로,"서울특별시 동대문구 이문동 105-1",0.043969435750392666,"양버즘나무 이팝나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
